name,total_gbs,dmc_gbs,stddev,mean,min,max,exit
dirfalse_bit0,34.91,34.94,46.28,2079.02,2001,2174,0
dirfalse_bit1,34.93,34.96,52.14,2079.00,1964,2257,0
dirfalse_bit2,35.02,35.04,40.29,2079.00,2004,2190,0
dirfalse_bit3,35.06,35.08,52.70,2079.00,1940,2193,0
dirfalse_bit4,34.94,34.97,47.52,2079.04,1937,2171,0
dirfalse_bit5,35.22,35.25,48.90,2079.00,1955,2222,0
dirfalse_bit6,,,,,,,1
dirtrue_bit0,34.91,34.94,46.28,2079.02,2001,2174,0
dirtrue_bit1,35.09,35.12,40.55,2079.00,1986,2163,0
dirtrue_bit2,,,,,,,1
dirtrue_bit3,,,,,,,1
dirtrue_bit4,,,,,,,1
dirtrue_bit5,34.98,35.01,35.01,2079.00,1988,2159,0
dirtrue_bit6,34.96,34.99,42.51,2079.02,1973,2178,0
